Company Name,Type,AI Check,Signed Check,Deals Check,Zip Code,Phone,Website,Source,Ryan,Alyssa 2,Alyssa R,Gabe,Jacob,Rachel,Colin,Notes,Address
,,,,,,,,,,,,,,,,,"New York, NY, USA"
787 Coffee,BB2,787,No,No,10009.0,,http://787coffee.com/,NYC Hitlist,0.0,0,1.0,1.0,0.0,1.0,1.0,Multiple Locations,"131 E 7th St, New York, NY 10009, USA"
Oslo Coffee Roasters,BB2,Oslo,No,No,10014.0,,https://oslocoffee.com/,New York Hitlist,0.0,0,0.0,1.0,0.0,1.0,1.0,,"Oslo Coffee Roasters, Brooklyn, NY 11211, USA"
Magnolia Bakery,BB2,Magnolia Bakery,No,No,10014.0,(212) 462-2572,http://www.magnoliabakery.com/,Eater,0.0,0,0.0,0.0,0.0,1.0,1.0,,"New York, NY, USA"
Somtum Der,BB2,Somtum Der,No,No,10009.0,,http://www.somtumdernewyork.com/,NYC Hitlist,0.0,0,0.0,0.0,1.0,0.0,1.0,,"85 Avenue A, New York, NY 10009, USA"
Cafe Spaghetti,BB1,Cafe Spaghetti,No,Yes,11231.0,Not Available,https://www.cafespaghetti.com/,Eater,0.0,0,0.0,0.0,1.0,0.0,1.0,,"126 Union St, Brooklyn, NY 11231, USA"
Cafe Mogador,BB2,Cafe Mogador,No,Yes,10009.0,Not Available,http://www.cafemogador.com/,Eater,0.0,0,0.0,1.0,0.0,0.0,1.0,,"101 St Marks Pl, New York, NY 10009, USA"
Chino Grande,BB2,Chino Grande,No,Yes,11211.0,(917) 909-0466,http://www.chinograndenyc.com/,Eater,0.0,0,0.0,1.0,0.0,0.0,1.0,,"253 Grand St, Brooklyn, NY 11211, USA"
Cozy Royale,BB1,Cozy Royale,No,Yes,11211.0,(718) 734-2792,http://cozyroyale.com/,Eater,0.0,0,0.0,1.0,0.0,0.0,1.0,,"434 Humboldt St, Brooklyn, NY 11211, USA"
The Four Horsemen,BB1,The Four Horsemen,No,Yes,11211.0,(718) 599-4900,http://fourhorsemenbk.com/,Eater,0.0,0,0.0,1.0,0.0,0.0,1.0,,"295 Grand St, Brooklyn, NY 11211, USA"
Lilia,BB2,Lilia,No,Yes,11222.0,(718) 576-3095,http://www.lilianewyork.com/,Eater,0.0,0,0.0,1.0,0.0,0.0,1.0,,"567 Union Ave, Brooklyn, NY 11211, USA"
MáLà Project,BB2,MáLà,No,No,10009.0,,http://malaproject.com/,NYC Hitlist,0.0,0,0.0,0.0,0.0,0.0,1.0,,"122 1st Ave., New York, NY 10009, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
,,,,,,,,,,,,,,,,,"New York, NY, USA"
