Company Name,Website URL,First Name,Email,
Icca,https://icca.nyc/,there,info@icca.nyc,info@icca.nyc
Chambers,https://chambers.nyc/,there,holler@chambers.nyc,holler@chambers.nyc
Ito,https://itotribeca.com/,there,reservedContactinfo@itotribeca.com,reservedContactinfo@itotribeca.com
Ito,https://itotribeca.com/,there,info@itolasvegas.com,info@itolasvegas.com
Ito,https://itotribeca.com/,there,info@itotribeca.com,info@itotribeca.com
The Odeon,https://www.theodeonrestaurant.com/,there,info@theodeonrestaurant.com,info@theodeonrestaurant.com
The Odeon,https://www.theodeonrestaurant.com/,Aaron,aaron@theodeonrestaurant.com,aaron@theodeonrestaurant.com
Atera,http://ateranyc.com/,there,reservations@ateranyc.com,reservations@ateranyc.com
Atera,http://ateranyc.com/,there,privateevents@ateranyc.com,privateevents@ateranyc.com
Atera,http://ateranyc.com/,there,info@ateranyc.com,info@ateranyc.com
Atera,http://ateranyc.com/,there,press@ateranyc.com,press@ateranyc.com
Farra,https://www.farranyc.com/,there,info@farranyc.com,info@farranyc.com
Shion 69 Leonard Street,https://www.69leonardstreet.com/,there,info@69leonardstreet.com,info@leonardstreet.com
Shion 69 Leonard Street,https://www.69leonardstreet.com/,there,ielkon@graphnet.com,ielkon@graphnet.com
Tamarind,https://tamarindtribeca.com/,there,tamarindnyc@gmail.com,tamarindnyc@gmail.com
One White Street,https://www.onewhitestreetnyc.com/,there,events@onewhitestreetnyc.com,events@onewhitestreetnyc.com
One White Street,https://www.onewhitestreetnyc.com/,there,hello@onewhitestreetnyc.com,hello@onewhitestreetnyc.com
One White Street,https://www.onewhitestreetnyc.com/,there,careers@onewhitestreetnyc.com,careers@onewhitestreetnyc.com
Crown Shy,https://www.crownshy.nyc/,there,reservations@crownshy.nyc,reservations@crownshy.nyc
Crown Shy,https://www.crownshy.nyc/,there,events@crownshy.nyc,events@crownshy.nyc
Frenchette,https://www.frenchettenyc.com/,there,info@frenchettenyc.com,info@frenchettenyc.com
Frenchette,https://www.frenchettenyc.com/,there,fete@frenchettenyc.com,fete@frenchettenyc.com
Saga,https://www.saga-nyc.com/,there,media@saga-nyc.com,media@saga-nyc.com
Saga,https://www.saga-nyc.com/,there,reservations@saga-nyc.com,reservations@saga-nyc.com
Locanda Verde,https://www.locandaverdenyc.com/,Marie,marie@nhgnyc.com,marie@nhgnyc.com
Locanda Verde,https://www.locandaverdenyc.com/,there,info@locandaverdenyc.com,info@locandaverdenyc.com
Locanda Verde,https://www.locandaverdenyc.com/,there,Jobs@LocandaVerdeNYC.com,Jobs@LocandaVerdeNYC.com
Dim Sum Go Go,https://www.dimsumgogonyc.com/,there,info@dimsumgogonyc.com,info@dimsumgogonyc.com
Dim Sum Go Go,https://www.dimsumgogonyc.com/,Xiaohua,xiaohua@malaproject.com,xiaohua@malaproject.com
Golden Unicorn,https://www.goldenunicornrestaurant.com/,there,info@goldenunicornrestaurant.com,info@goldenunicornrestaurant.com
Golden Unicorn,https://www.goldenunicornrestaurant.com/,,,
Golden Unicorn,https://www.goldenunicornrestaurant.com/,there,goldenunicornny@yahoo.com,goldenunicornny@yahoo.com
Carne Mare,https://www.carnemare.com/,there,info@carnemare.com,info@carnemare.com
La Mercerie,https://www.lamercerieny.com/,there,reservations@lamercerieny.com,reservations@lamercerieny.com
La Mercerie,https://www.lamercerieny.com/,there,press@rwguild.com,press@rwguild.com
La Mercerie,https://www.lamercerieny.com/,there,events@lamercerieny.com,events@lamercerieny.com
L’abeille à Côté,https://www.labeilleacote.nyc/,there,pr@labeille.nyc,pr@labeille.nyc
Corima,https://corimanyc.com/,there,info@corimanyc.com,info@corimanyc.com
Shabushabu Mayumon,https://www.shabushabumayumon.com/,there,shabushabumayumon@gmail.com,shabushabumayumon@gmail.com
Hirohisa,https://www.hirohisa.nyc/,Hirohisa,info@hirohisa.nyc,info@hirohisa.nyc
Potluck Club,https://thepotluckclubny.com/,there,events@potluckclubny.com,events@potluckclubny.com
Potluck Club,https://thepotluckclubny.com/,there,catering@potluckclubny.com,catering@potluckclubny.com
Altro Paradiso,https://www.altroparadiso.com/,Mattos,events@mattos-hospitality.comFor,events@mattos-hospitality.com
Altro Paradiso,https://www.altroparadiso.com/,Sarah,sarah@wickedgm.com,sarah@wickedgm.com
Altro Paradiso,https://www.altroparadiso.com/,there,info@altroparadiso.com,info@altroparadiso.com
Altro Paradiso,https://www.altroparadiso.com/,David,david@gruberstrategies.com,david@gruberstrategies.com
Altro Paradiso,https://www.altroparadiso.com/,there,events@mattos-hospitality.com,eventsmattoshospitalitycom
Vestry,https://www.vestrynyc.com/,Zac,zac@vestrynyc.com,zac@vestrynyc.com
Vestry,https://www.vestrynyc.com/,there,forms@tambourine.com,formstambourinecom
Vestry,https://www.vestrynyc.com/,Tara,tara@hallpr.com,tara@hallpr.com
Vestry,https://www.vestrynyc.com/,Asheli,asheli@vestrynyc.com,asheli@vestrynyc.com
Vestry,https://www.vestrynyc.com/,Ashli,ashli@vestrynyc.com,ashlivestrynyccom
San Carlo Osteria Piemonte,https://www.sancarlonyc.com/,there,info@sancarlonyc.com,info@sancarlonyc.com
Tolo,https://tolonyc.com/,there,info@tolonyc.com,info@tolonyc.com
Dirt Candy,https://www.dirtcandynyc.com/,Amanda,info@dirtcandynyc.com,info@dirtcandynyc.com
Dirt Candy,https://www.dirtcandynyc.com/,Amanda,press@dirtcandynyc.com,press@dirtcandynyc.com
Raoul's,http://www.raouls.com/,there,info@raouls.com,info@raouls.com
Raoul's,http://www.raouls.com/,there,jobs@raouls.com,jobs@raouls.com
Raoul's,http://www.raouls.com/,Alice,alice@raouls.com,alice@raouls.com
Raoul's,http://www.raouls.com/,David,david@raouls.com,david@raouls.com
Pinch Chinese,https://www.pinchchinese.com/,there,nihao@pinchchinese.com,nihao@pinchchinese.com
Pinch Chinese,https://www.pinchchinese.com/,there,events@pinchchinese.com,events@pinchchinese.com
The Dutch,https://www.thedutchnyc.com/,Adrielle,adrielle@nhgnyc.com,adrielle@nhgnyc.com
The Dutch,https://www.thedutchnyc.com/,there,info@thedutchnyc.com,info@thedutchnyc.com
The Dutch,https://www.thedutchnyc.com/,there,pr@nhgnyc.com,pr@nhgnyc.com
The Dutch,https://www.thedutchnyc.com/,there,jobs@thedutchnyc.com,jobs@thedutchnyc.com
Sushi Ikumi,https://www.ikumi.nyc/,there,info@ikumi.nyc,info@ikumi.nyc
Torrisi,https://www.torrisinyc.com,there,reservations@torrisinyc.com,reservations@torrisinyc.com
Bar Tulix,https://www.bartulix.com/,Sara,sara@mercerstreethospitality.com,sara@mercerstreethospitality.com
Russ & Daughters Cafe,https://www.russanddaughterscafe.com/,there,giftcards@russanddaughters.com,giftcards@russanddaughters.com
Russ & Daughters Cafe,https://www.russanddaughterscafe.com/,there,cafe@russanddaughters.com,cafe@russanddaughters.com
Russ & Daughters Cafe,https://www.russanddaughterscafe.com/,there,comms@russanddaughters.com,comms@russanddaughters.com
Russ & Daughters Cafe,https://www.russanddaughterscafe.com/,there,info@morgensternsnyc.com,info@morgensternsnyc.com
The Musket Room,https://www.musketroom.com/,there,events@musketroom.com,events@musketroom.com
King,https://kingrestaurant.nyc/,there,info@kingrestaurant.nyc,info@kingrestaurant.nyc
King,https://kingrestaurant.nyc/,Merissa,merissa@kingrestaurant.nyc,merissa@kingrestaurant.nyc
Charlie Bird,https://www.charliebirdnyc.com/,there,info@charliebirdnyc.com,info@charliebirdnyc.com
Charlie Bird,https://www.charliebirdnyc.com/,there,events@dhgnyc.com,events@dhgnyc.com
Estela,https://www.estelanyc.com/,Estela,info@estelanyc.com,info@estelanyc.com
Estela,https://www.estelanyc.com/,there,events@mattos-hospitality.com.For,events@mattos-hospitality.com
Estela,https://www.estelanyc.com/,Estela,info@estelanyc.com.For,info@estelanyc.com
Emilio's Ballato,https://www.ballatos.com/,there,mballatos@gmail.com,mballatos@gmail.com
DOMODOMO,https://www.domodomonyc.com/,Dominic,domodomonyc@gmail.com,domodomonyc@gmail.com
Lupa,https://luparestaurant.com/,there,events@luparestaurant.com,events@luparestaurant.com
Lupa,https://luparestaurant.com/,there,info@luparestaurant.com,info@luparestaurant.com
Torien,https://torien-nyc.com/,Natalia,natalia@showahospitality.com,nataliashowahospitalitycom
Torien,https://torien-nyc.com/,there,hi@torien-nyc.com,hitorien-nyccom
Torien,https://torien-nyc.com/,Yuki,yuki@showahospitality.com,yuki@showahospitality.com
Carbone,https://www.carbonenewyork.com/,there,events@majorfood.com,events@majorfood.com
Carbone,https://www.carbonenewyork.com/,there,info@carbonenewyork.com,info@carbonenewyork.com
Carbone,https://www.carbonenewyork.com/,there,reservations@majorfood.com,reservations@majorfood.com
8282,https://www.eightwoeightwo.com/,there,info@eightwoeightwo.com,info@eightwoeightwo.com
Baar Baar,https://baarbaarnyc.com/,Denise,denise@bolstermedianyc.com,denise@bolstermedianyc.com
Baar Baar,https://baarbaarnyc.com/,there,Info@baarbaarnyc.com,Info@baarbaarnyc.com
