Company Name,AI Check,Signed Check,Deals Check,Zip Code,Phone,Website,Source
,,,,,,,
Alice,Alice,No,Yes,10011,(212) 691-4886,http://www.alicenyc.com/,Eater
Cafe Mogador,Cafe Mogador,No,Yes,10009,Not Available,http://www.cafemogador.com/,Eater
Cafe Spaghetti,Cafe Spaghetti,No,Yes,11231,Not Available,https://www.cafespaghetti.com/,Eater
Chino Grande,Chino Grande,No,Yes,11211,(917) 909-0466,http://www.chinograndenyc.com/,Eater
Commerce Inn,Commerce Inn,No,Yes,10014,Not Available,http://www.thecommerceinn.com/,Eater
Corima,Corima,No,Yes,10002,Not Available,https://corimanyc.com/,Eater
Cozy Royale,Cozy Royale,No,Yes,11211,(718) 734-2792,http://cozyroyale.com/,Eater
Dirt Candy,Dirt Candy,No,Yes,10002,(212) 228-7732,http://www.dirtcandynyc.com/,Eater
Eel Bar,Eel,No,Yes,10002,Not Available,https://www.eelbarnyc.com/,Eater
Foul Witch,Foul Witch,No,Yes,10009,Not Available,https://www.foulwitchnyc.com/,Eater
I Sodi,I Sodi,No,Yes,10014,(212) 414-5774,http://www.isodinyc.com/,Eater
Ito,Ito,No,Yes,10007,Not Available,https://itotribeca.com/,Eater
Jazba,Jazba,No,Yes,10003,(646) 861-3343,http://www.jazbanyc.com/,Eater
Kolachi,Kolachi,No,Yes,10009,(917) 262-0633,Not Available,Eater
Koloman,Koloman,No,Yes,10001,(212) 790-8970,https://kolomanrestaurant.com/,Eater
Le Rock,Le Rock,No,Yes,10111,(332) 258-8734,http://lerocknyc.com/,Eater
Lilia,Lilia,No,Yes,11222,(718) 576-3095,http://www.lilianewyork.com/,Eater
Los Tacos No.1,Los Tacos,No,Yes,10011,Not Available,https://www.lostacos1.com/,Eater
Penny,Penny,No,Yes,10003,Not Available,https://www.penny-nyc.com/,Eater
Rabbit House (Essex),Rabbit,No,Yes,10002,Not Available,Not Available,Eater
Roscioli,Roscioli,No,Yes,10012,Not Available,https://rosciolinyc.com,Eater
Rubirosa,Rubirosa,No,Yes,10012,(212) 965-0500,http://rubirosanyc.com/,Eater
Shion 69 Leonard,Shion 69 Leonard,No,Yes,10013,(212) 404-4600,https://www.69leonardstreet.com/,Eater
Superiority Burger,Superiority Burger,No,Yes,10009,(646) 422-7707,http://www.superiorityburger.com/,Eater
The Four Horsemen,The Four Horsemen,No,Yes,11211,(718) 599-4900,http://fourhorsemenbk.com/,Eater
