Company Name,AI Check,Signed Check,Deals Check,Zip Code,Phone,Website,Source,Address
,,,,,,,,"New York, NY, USA"
Alice,Alice,No,Yes,10011.0,(212) 691-4886,http://www.alicenyc.com/,Eater,"New York, NY, USA"
Cafe Mogador,Cafe Mogador,No,Yes,10009.0,Not Available,http://www.cafemogador.com/,Eater,"101 St Marks Pl, New York, NY 10009, USA"
Cafe Spaghetti,Cafe Spaghetti,No,Yes,11231.0,Not Available,https://www.cafespaghetti.com/,Eater,"126 Union St, Brooklyn, NY 11231, USA"
Chino Grande,Chino Grande,No,Yes,11211.0,(917) 909-0466,http://www.chinograndenyc.com/,Eater,"253 Grand St, Brooklyn, NY 11211, USA"
Commerce Inn,Commerce Inn,No,Yes,10014.0,Not Available,http://www.thecommerceinn.com/,Eater,"50 Commerce St, New York, NY 10014, USA"
Corima,Corima,No,Yes,10002.0,Not Available,https://corimanyc.com/,Eater,"3 Allen St, New York, NY 10002, USA"
Cozy Royale,Cozy Royale,No,Yes,11211.0,(718) 734-2792,http://cozyroyale.com/,Eater,"434 Humboldt St, Brooklyn, NY 11211, USA"
Dirt Candy,Dirt Candy,No,Yes,10002.0,(212) 228-7732,http://www.dirtcandynyc.com/,Eater,"86 Allen St, New York, NY 10002, USA"
Eel Bar,Eel,No,Yes,10002.0,Not Available,https://www.eelbarnyc.com/,Eater,"252 Broome St, New York, NY 10002, USA"
Foul Witch,Foul Witch,No,Yes,10009.0,Not Available,https://www.foulwitchnyc.com/,Eater,"15 Avenue A, New York, NY 10009, USA"
I Sodi,I Sodi,No,Yes,10014.0,(212) 414-5774,http://www.isodinyc.com/,Eater,"314 Bleecker St, New York, NY 10014, USA"
Ito,Ito,No,Yes,10007.0,Not Available,https://itotribeca.com/,Eater,"New York, NY, USA"
Jazba,Jazba,No,Yes,10003.0,(646) 861-3343,http://www.jazbanyc.com/,Eater,"207 2nd Ave, New York, NY 10003, USA"
Kolachi,Kolachi,No,Yes,10009.0,(917) 262-0633,Not Available,Eater,"130 1st Ave., New York, NY 10009, USA"
Koloman,Koloman,No,Yes,10001.0,(212) 790-8970,https://kolomanrestaurant.com/,Eater,"16 W 29th St, New York, NY 10001, USA"
Le Rock,Le Rock,No,Yes,10111.0,(332) 258-8734,http://lerocknyc.com/,Eater,"45 Rockefeller Plaza, New York, NY 10111, USA"
Lilia,Lilia,No,Yes,11222.0,(718) 576-3095,http://www.lilianewyork.com/,Eater,"567 Union Ave, Brooklyn, NY 11211, USA"
Los Tacos No.1,Los Tacos,No,Yes,10011.0,Not Available,https://www.lostacos1.com/,Eater,"New York, NY, USA"
Penny,Penny,No,Yes,10003.0,Not Available,https://www.penny-nyc.com/,Eater,"90 E 10th St 1st Floor, New York, NY 10003, USA"
Rabbit House (Essex),Rabbit,No,Yes,10002.0,Not Available,Not Available,Eater,"41 Essex St, New York, NY 10002, USA"
Roscioli,Roscioli,No,Yes,10012.0,Not Available,https://rosciolinyc.com,Eater,"43 MacDougal St, New York, NY 10012, USA"
Rubirosa,Rubirosa,No,Yes,10012.0,(212) 965-0500,http://rubirosanyc.com/,Eater,"235 Mulberry St, New York, NY 10012, USA"
Shion 69 Leonard,Shion 69 Leonard,No,Yes,10013.0,(212) 404-4600,https://www.69leonardstreet.com/,Eater,"69 Leonard St, New York, NY 10013, USA"
Superiority Burger,Superiority Burger,No,Yes,10009.0,(646) 422-7707,http://www.superiorityburger.com/,Eater,"119 Avenue A, New York, NY 10009, USA"
The Four Horsemen,The Four Horsemen,No,Yes,11211.0,(718) 599-4900,http://fourhorsemenbk.com/,Eater,"295 Grand St, Brooklyn, NY 11211, USA"
Tolo,Tolo,No,Yes,10002.0,Not Available,https://tolonyc.com/,Eater,"28 Canal St, New York, NY 10002, USA"
Umbertos Clam House,Clam,No,Yes,10013.0,(212) 431-7545,http://www.umbertosclamhouse.com/,Eater,"132 Mulberry St, New York, NY 10013, USA"
Veselka,Veselka,No,Yes,10003.0,(212) 228-9682,http://www.veselka.com,Eater,"144 2nd Ave, New York, NY 10003, USA"
Via Carota,Via Carota,No,Yes,10014.0,Not Available,http://viacarota.com/,Eater,"51 Grove St, New York, NY 10014, USA"
Wildair,Wildair,No,Yes,10002.0,(646) 964-5624,http://wildair.nyc/,Eater,"142 Orchard St, New York, NY 10002, USA"
% Arabica,Arabica,No,No,11201.0,(718) 865-2551,https://www.arabicacoffee.us/,Eater,"New York, NY, USA"
188 Bakery Cuchifritos,188,No,No,10468.0,(718) 367-4500,https://www.facebook.com/188cuchifritos/,Eater,"158 E 188th St, Bronx, NY 10468, USA"
A-Pou's Taste,A-Pou's,No,No,11211.0,Not Available,https://www.apoustaste.com/,Eater,"963 Grand St, Brooklyn, NY 11211, USA"
