"Record ID","Company name","Type","POS System","Parent Company","Associated Company","Company Domain Name","Category","Location City","Borough","Company owner","Create Date","Onboarding & Account Manager","Postal Code","Priority","Last Contacted","Segment","Neighborhood","Lifecycle Stage","Reservation System","Number of Associated Deals","Number of Associated Contacts","Associated Company IDs"
"22009141262","Upside Pizza Nolita","Live Partner","","20791001010","Upside Pizza","upsidepizza.com","BB2","New York","","Maddie Weber","2024-07-22 10:14","","11222","","","","","Partner","","1.0","0.0","20791001010"
"21691603554","Parcelle Wine West Village","Live Partner","Square","20790912293","Parcelle Wine Bar Group","parcellewine.com","BB1","New York","","Colin Camac","2024-07-01 13:52","Rachel Shapiro","10012","P0","","Multi Unit (1-5)","","Partner","Resy","1.0","0.0","20790912293"
"21687418204","Bodega - Mt. Pleasant","Live Partner","","22142269857","Bodega Group","eatdrinkbodega.com","BB1","Charleston","","Rachel Shapiro","2024-07-01 11:04","","29403","P1","","","","Partner","","1.0","0.0","22142269857"
"21613076660","Five Acres","Live Partner","","22141786413","Rockefeller Center Group","5acresnyc.com","BB1","New York","","Maddie Weber","2024-06-26 11:48","","10112","","","","","Partner","","1.0","0.0","22141786413"
"21489757855","isshiki matcha","Live Partner","Toast","","","isshikimatcha.com","","New York","","Aayush Sanghrajka","2024-06-18 10:35","","","","2024-08-05 21:06","","","Partner","","1.0","1.0",""
"21361146496","Bodega - Downtown","Live Partner","","22142269857","Bodega Group","eatdrinkbodega.com","BB1","Charleston","","Rachel Shapiro","2024-06-10 16:23","","29403","P0","2024-08-06 10:30","","Downtown","Partner","","1.0","2.0","22142269857"
"21356978539","Llama Cafe","Live Partner","Toast","21615077815","The Llama Group","llamasannyc.com","BB1","New York","Manhattan","Colin Camac","2024-06-10 12:21","Aayush Sanghrajka","10001","P1","","Multi Unit (1-5)","","Partner","None","1.0","0.0","21615077815"
"21250419764","Laissez Faire","Live Partner","Micros","","","laissezfaire.nyc","BB3 - Bar","New York","","Colin Camac","2024-06-04 15:23","Aayush Sanghrajka","10038","P1","2024-07-12 12:17","Single Unit","Chinatown","Partner","Resy","1.0","2.0",""
"21249349457","Drift In","Live Partner","Toast","21615026094","Crew","crewny.com","BB2","New York","West Village","Colin Camac","2024-06-04 14:44","Colin Camac","10013","","","","","Partner","Resy","1.0","1.0","21615026094"
"21249318966","High Tide","Live Partner","Toast","21615026094","Crew","crewny.com","BB1","New York","","Maddie Weber","2024-06-04 14:33","","10013","","","","","Partner","Resy","1.0","1.0","21615026094"
"21137792784","The Refuge","Live Partner","Toast","","","refugeiop.com","BB1","Charleston","","Rachel Shapiro","2024-05-30 13:31","","","P1","2024-07-23 15:59","","Charleston","Partner","","1.0","1.0",""
"20929023413","Alidoro The Hugh","Live Partner","Toast","21613534999","Alidoro Group","","BB2","New York","","Colin Camac","2024-05-21 12:02","Aayush Sanghrajka","","P0","","","Midtown","Partner","None","1.0","0.0","21613534999"
"20929111127","Nami Nori (Montclair NJ)","Live Partner","Toast","21615011433","Nami Nori Group","","BB1","New York","","Colin Camac","2024-05-21 12:02","","","","","","","Partner","","1.0","0.0","21615011433"
"20929169667","Posto NYC Thin Crust Pizza","Live Partner","Other (please add in account notes)","21613725741","NYC Thin Crust Pizza","","BB1","New York","","Colin Camac","2024-05-21 12:02","","","","","","Gramercy","Partner","","1.0","0.0","21613725741"
"20929079040","The Daily (Trabert Ave)","Live Partner","","21613715712","The Daily Group","","BB2","Georgia","","","2024-05-21 12:02","","","","","","Atlanta","Partner","","1.0","0.0","21613715712"
"20929111124","Spunto NYC Thin Crust Pizza","Live Partner","Other (please add in account notes)","21613725741","NYC Thin Crust Pizza","","BB1","New York","","Colin Camac","2024-05-21 12:02","","","","","","West Village","Partner","","1.0","0.0","21613725741"
"20927655705","Mah Ze Dahr Brookfield Place","Live Partner","Toast","21613577495","Mah Ze Dahr Group","","BB2","New York","","Colin Camac","2024-05-21 12:02","","","P1","","","Financial District","Partner","","1.0","0.0","21613577495"
"20929141282","Vezzo NYC Thin Crust Pizza","Live Partner","Other (please add in account notes)","21613725741","NYC Thin Crust Pizza","","BB1","New York","","Colin Camac","2024-05-21 12:02","","","","","","Midtown","Partner","","1.0","0.0","21613725741"
"20929127599","Gruppo NYC Thin Crust Pizza","Live Partner","Other (please add in account notes)","21613725741","NYC Thin Crust Pizza","","BB1","New York","","Colin Camac","2024-05-21 12:02","","","","","","East Village","Partner","","1.0","0.0","21613725741"
"20929055620","St. Tropez West Village","Live Partner","Other (please add in account notes)","21613786033","St Tropez Group","","BB1","New York","","Colin Camac","2024-05-21 12:02","","","","2024-08-06 14:24","","West Village","Partner","","1.0","1.0","21613786033"
"20927659357","Davey’s Ice Cream (Midtown)","Live Partner","Square","21615107753","Davey's Ice Cream Group","","BB2","New York","","Colin Camac","2024-05-21 12:02","","","P1","","","Midtown","Partner","None","1.0","0.0","21615107753"
"20927655703","Mah Ze Dahr Midtown","Live Partner","Toast","21613577495","Mah Ze Dahr Group","","BB2","New York","","Colin Camac","2024-05-21 12:02","","","P1","","","Midtown","Partner","","1.0","0.0","21613577495"
"20928961700","Softside / Soupside","Live Partner","Toast","22141786281","Upside Pizza Group","","BB2","New York","","Colin Camac","2024-05-21 12:02","","","","","","","Partner","None","1.0","0.0","22141786281"
"20929078969","Local 42","Live Partner","Toast","","","","BB3 - Bar","New York","","Colin Camac","2024-05-21 12:02","","","P2","","","Hells Kitchen","Partner","None","1.0","0.0",""
"20929095216","Sweet Rose Creamery - Brentwood Country Mart","Live Partner","Square","21614999450","Sweet Rose Creamery Group","","BB2","Los Angeles","","","2024-05-21 12:02","","","","","","Santa Monica","Partner","None","1.0","0.0","21614999450"
"20929075760","Ban Rai","Live Partner","Square","21615057493","Ban Rai / Decibel Group","rairaiken2000.com","BB1","New York","","Colin Camac","2024-05-21 12:02","","","P2","","","East Village","Partner","Resy","1.0","0.0","21615057493"
"20928988549","The Daily (Charleston - King St)","Live Partner","Other (please add in account notes)","21613715712","The Daily Group","","BB2","Charleston","","","2024-05-21 12:02","","","","","","","Partner","None","1.0","0.0","21613715712"
"20928981329","Crave Fishbar Midtown","Live Partner","Toast","21615051180","Crave Group","","BB1","New York","","Colin Camac","2024-05-21 12:02","","","P1","","","Midtown","Partner","OpenTable","1.0","0.0","21615051180"
"20929188930","Jajaja Williamsburg","Live Partner","Other (please add in account notes)","21613652736","Jajaja","","BB1","New York","","Colin Camac","2024-05-21 12:02","","","","","","Williamsburg","Partner","Resy","1.0","0.0","21613652736"
"20854598165","UnregularPizzaUES","Live Partner","Square","21612720494","Unregular Hospitality Group","unregularpizza.com","BB2","New York","Manhattan","Colin Camac","2024-05-16 21:09","","10075","P1","","Multi Unit (1-5)","UWS","Partner","None","1.0","1.0","21612720494"
"20790892473","The Daily (Buckhead)","Live Partner","","21613715712","The Daily Group","","BB2","Georgia","","","2024-05-13 18:14","","","","","","Atlanta","Partner","","1.0","0.0","21613715712"
"20791027084","Nom Wah at Market 57","Live Partner","Toast","21613610801","Nom Wah Group","","BB2","New York","","Colin Camac","2024-05-13 18:14","","","","","","Chelsea","Partner","","1.0","0.0","21613610801"
"20789755957","Nami Nori (West Village)","Live Partner","","21615011433","Nami Nori Group","","","New York","","Colin Camac","2024-05-13 18:14","","","","","","","Partner","","1.0","0.0","21615011433"
"20929034125","Sra Martinez","Live Partner","Toast","","","","BB1","Florida","","","2024-05-13 18:14","","","","","","","Partner","Resy","1.0","0.0",""
"20790904442","Greywind","Live Partner","Toast","21612720495","Greywind / Spygold","greywindnyc.com","BB1","New York","","Colin Camac","2024-05-13 18:14","Rachel Shapiro","10018","P0","","","Hudson Yards","Partner","Resy","1.0","0.0","21612720495"
"20790854982","The Press (CHS)","Live Partner","","22146205534","The Tippling House / The Press Group","","BB2","Charleston","","Rachel Shapiro","2024-05-13 18:14","Rachel Shapiro","","","","","Charleston","Partner","","1.0","0.0","22146205534"
"20790854983","Holywater","Live Partner","Toast","21615026094","Crew","crewny.com","BB2","New York","","Colin Camac","2024-05-13 18:14","","10013","","","","Tribeca","Partner","Resy","1.0","1.0","21615026094"
"20789661730","Alidoro Dekalb Market","Live Partner","","21613534999","Alidoro Group","","","New York","","Colin Camac","2024-05-13 18:14","","","","","","","Partner","","1.0","0.0","21613534999"
"20790925174","Jajaja LES","Live Partner","Other (please add in account notes)","21613652736","Jajaja","","BB1","New York","","Colin Camac","2024-05-13 18:14","","","","","","LES","Partner","Resy","1.0","0.0","21613652736"
"20790854979","Bobwhite Counter (Union Square)","Live Partner","","21613814445","Bobwhite Counter Group","","","New York","","Colin Camac","2024-05-13 18:14","Aayush Sanghrajka","","","","","","Partner","","1.0","0.0","21613814445"
"20791001013","Bobwhite Counter (Jersey City)","Live Partner","","21613814445","Bobwhite Counter Group","","","New York","","Colin Camac","2024-05-13 18:14","Aayush Sanghrajka","","","","","","Partner","","1.0","0.0","21613814445"
"20791022515","Unregular Pizza Midtown","Live Partner","Square","21612720494","Unregular Hospitality Group","","BB2","New York","","Colin Camac","2024-05-13 18:14","","","","","","Midtown","Partner","None","1.0","0.0","21612720494"
"20790780019","Brado NYC Thin Crust Pizza","Live Partner","","21613725741","NYC Thin Crust Pizza","","","New York","","Colin Camac","2024-05-13 18:14","","","","","","","Partner","","1.0","0.0","21613725741"
"20791040325","Alidoro LIC","Live Partner","","21613534999","Alidoro Group","","","New York","","Colin Camac","2024-05-13 18:14","Aayush Sanghrajka","","","","","","Partner","","1.0","0.0","21613534999"
